,full_address,url,lat,long
18,"2015 POPLAR RIDGE PL Forsyth County, GA","https://www.google.com/maps/search/2015%20POPLAR%20RIDGE%20PL%20Forsyth%20County,%20GA",34.22648502,-84.17658534
116,"3315 CHATTAHOOCHEE RD Forsyth County, GA","https://www.google.com/maps/search/3315%20CHATTAHOOCHEE%20RD%20Forsyth%20County,%20GA",34.2389681,-84.0799756
117,"8030 TIBERON PKWY Forsyth County, GA","https://www.google.com/maps/search/8030%20TIBERON%20PKWY%20Forsyth%20County,%20GA",34.3095129,-84.1999578
118,"1630 PIEDMONT LN Forsyth County, GA","https://www.google.com/maps/search/1630%20PIEDMONT%20LN%20Forsyth%20County,%20GA",34.2373493,-84.1192076
119,"1995 MANOR POINTE DR Forsyth County, GA","https://www.google.com/maps/search/1995%20MANOR%20POINTE%20DR%20Forsyth%20County,%20GA",34.186755,-84.107263
120,"4315 GOLDEN KNOLL RD Forsyth County, GA","https://www.google.com/maps/search/4315%20GOLDEN%20KNOLL%20RD%20Forsyth%20County,%20GA",34.277499,-84.19026
121,"4285 GOLDEN KNOLL RD Forsyth County, GA","https://www.google.com/maps/search/4285%20GOLDEN%20KNOLL%20RD%20Forsyth%20County,%20GA",34.2775,-84.189597
122,"3442 OLD TOWNE LN Forsyth County, GA","https://www.google.com/maps/search/3442%20OLD%20TOWNE%20LN%20Forsyth%20County,%20GA",34.2188224,-84.1964004
123,"6430 GROVE MEADOWS LN Forsyth County, GA","https://www.google.com/maps/search/6430%20GROVE%20MEADOWS%20LN%20Forsyth%20County,%20GA",34.3029269,-84.1764214
124,"5360 KEITHWOOD CT Forsyth County, GA","https://www.google.com/maps/search/5360%20KEITHWOOD%20CT%20Forsyth%20County,%20GA",34.1940881,-84.1823128
125,"4215 COLD SPRING CT Forsyth County, GA","https://www.google.com/maps/search/4215%20COLD%20SPRING%20CT%20Forsyth%20County,%20GA",34.1301014,-84.13214
126,"4160 SIERRA KNOLLS CT Forsyth County, GA","https://www.google.com/maps/search/4160%20SIERRA%20KNOLLS%20CT%20Forsyth%20County,%20GA",34.272458,-84.106645
